,GISPROPNUM,BOROUGH,ACRES,SIGNNAME,TYPECATEGO,handball,tennis,basketball,adult_soft,track_and,play_area_count,preserve_count,spray_count,OBJECTID,TPL_P_NAME,FREQUENCY,SUM_SVCAREA,SUM_TOTPOPSVCA,SUM_KIDSVCA,SUM_YOUNGPROSVCA,SUM_SENIORSVCA,SUM_HHILOWSVCA,SUM_HHIMEDSVCA,SUM_HHIHIGHSVCA,SUM_TOTHHSVCA,SUM_WHITE_SVC,SUM_BLACK_SVC,SUM_AMERINDSVC,SUM_ASIAN_SVC,SUM_PACIFICSVC,SUM_OTHRACESVC,SUM_RACE2UPSVC,SUM_HISP_SVC
442,BS47,B,0.2916839,P.S. 376,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1213,P.S. 376,55,15745969.8859,48039,13304,30589,4147,7741,4480,2803,15024,16724,6009,606,3243,29,18454,2967,35683
443,BS48,B,0.37844709,P.S. 99,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1268,P.S. 99,31,12501095.7168,18682,5788,9919,2972,2029,1692,2323,6045,14791,547,31,2497,5,552,249,1131
444,BS50,B,1.7421747,P.S. 236,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1173,P.S. 236,17,10308115.8487,6897,1563,3989,1345,522,631,1378,2529,5593,688,9,354,2,148,107,473
445,BS51,B,0.30746767,P.S. 153,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1123,P.S. 153,35,14148200.4131,24375,6338,13928,4109,3408,2664,2714,8787,18186,237,42,4642,1,776,486,1757
446,BS52,B,1.3312228,P.S. 209,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1158,P.S. 209,32,11927396.2236,22303,4572,13734,3998,2939,2607,3003,8548,14642,325,95,5385,9,1336,511,2607
447,BS53,B,0.99518191,P.S. 238,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1174,P.S. 238,34,13780204.9602,23012,6624,12705,3689,3179,2415,2487,8081,19180,281,53,2102,5,960,432,2102
448,BS54,B,1.13569619,P.S. 254,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1183,P.S. 254,26,12696246.1137,22218,4063,13807,4341,3101,2716,3033,8846,13529,363,19,7274,0,542,489,1364
449,BS55,B,1.15667864,P.S. 197,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1148,P.S. 197,33,12729690.8368,22034,5134,12763,4139,3373,2250,3077,8695,18596,400,29,2097,6,474,428,1125
450,BS56,B,0.6724796,P.S. 199,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1150,P.S. 199,36,12889301.2151,22441,6637,12073,3721,2787,2296,2571,7653,18626,386,37,2355,1,725,306,1573
451,BS57,B,0.21299591,I.S. 2,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678,I.S. 2,37,13400344.6163,32604,7823,20146,4639,5086,3951,3229,12264,2731,26191,125,980,10,1318,1250,3533
452,BS58,B,1.14701501,P.S. 207,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1155,P.S. 207,25,13445809.6479,13410,3335,7888,2183,982,1142,2447,4571,8922,2306,34,1372,4,405,364,1296
453,BS59,B,0.82997525,P.S. 384,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1214,P.S. 384,27,9913292.8341,19775,5570,12318,1889,2882,2003,1417,6308,4809,6922,265,382,34,6296,1070,12193
454,BS60,B,0.41837197,P.S. 119,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,P.S. 119,32,13303446.8845,21451,5709,12914,2829,1918,2266,2609,6794,5154,12837,88,1803,4,810,758,2002
455,BS61,B,0.92786727,P.S. 161,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130,P.S. 161,44,13948436.6884,36086,9633,21629,4819,5611,3903,3691,13206,10509,22413,118,514,14,1320,1201,3789
456,BS62,B,0.5977869,P.S. 131,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109,P.S. 131,48,15976109.3668,44089,16667,23397,4022,5305,3665,2770,11735,26932,801,218,10468,19,4390,1255,8988
457,BS63,B,0.74307589,P.S. 193,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1146,P.S. 193,30,14062634.6578,17408,5490,9170,2745,1581,1382,2731,5692,14727,1273,10,851,5,327,213,830
458,BS64,B,0.75318795,P.S. 102,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1086,P.S. 102,32,12919613.0803,26750,5913,16963,3876,3412,3195,4485,11095,18216,519,86,4973,2,1851,1103,4592
459,BS65,B,0.63056979,P.S. 104,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088,P.S. 104,31,10505686.5738,18082,3530,11876,2672,2412,2548,3162,8126,12785,379,61,3200,15,1028,614,2629
460,BS66,B,0.94806978,P.S. 181,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1140,P.S. 181,36,14391038.628,27141,6758,16732,3648,3641,2873,2867,9382,872,23598,93,702,13,875,985,2312
461,BS67,B,0.48576287,P.S. 185K,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142,P.S. 185K,31,13326157.1706,19490,3862,12051,3574,2661,2523,3773,8957,15178,240,38,2458,9,952,620,2382
462,BS68,B,0.49873322,P.S. 375,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212,P.S. 375,30,8590595.06987,27161,6139,17358,3663,4779,3461,2792,11031,3633,20379,112,668,8,1198,1159,3475
463,BS69,B,0.4268452,I.S. 234,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,685,I.S. 234,37,13942345.914,25483,6048,14852,4582,3507,2724,3390,9624,19242,304,21,4656,2,697,565,1534
464,BS70,B,0.36172836,M.S. 587,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861,M.S. 587,37,12873051.5364,30641,8290,17777,4571,4928,3314,2603,10843,7529,21294,75,273,16,751,701,2168
465,BS71,B,0.98055279,I.S. 252,Schoolyard-Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,689,I.S. 252,44,13747690.4642,32439,8791,19664,3981,5049,4078,2798,11919,784,29441,84,304,17,923,884,2770
